riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,sex,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel,
13.25,8.50,20.00,11.75,10.00,12.50,20.00,10.00,11.75,18.50,8.50,14.75,m,15.75,14.00,16.50,12.00,16.20,10.75,18.00,17.80,14.42,
10.00,11.00,10.00,14.00,11.50,10.25,5.50,13.00,11.50,10.00,15.00,18.80,f,16.50,14.00,16.00,14.00,15.50,11.50,15.00,14.60,14.27,
14.25,12.50,15.60,15.00,16.50,14.50,11.00,18.50,16.75,14.00,15.50,18.10,f,17.25,18.50,16.50,16.50,18.20,19.00,14.00,16.10,16.49,
13.00,8.50,9.50,14.50,14.50,15.00,10.00,14.00,15.50,11.50,16.00,13.20,f,15.25,14.00,13.50,12.00,14.00,12.50,12.50,13.20,13.94,
11.00,0.00,9.90,10.00,9.75,8.00,15.20,11.50,8.00,13.00,10.00,18.85,m,13.00,12.00,15.50,10.50,12.00,10.00,16.50,10.00,12.80,
13.25,8.50,19.00,16.25,9.00,13.50,18.50,16.00,16.25,15.60,18.50,11.00,m,15.75,16.00,14.00,13.50,20.00,15.25,15.50,15.00,15.82,
13.25,13.00,12.90,13.75,12.50,13.00,6.00,14.75,15.00,8.50,14.50,17.10,f,16.25,11.50,14.50,13.00,15.50,12.50,17.00,15.80,14.66,
8.50,7.00,9.75,13.50,11.00,13.65,13.52,9.75,9.00,9.84,13.50,16.75,f,14.50,9.50,12.00,11.50,10.00,11.25,12.00,12.00,13.17,
9.00,7.00,10.00,16.00,11.00,12.50,9.00,9.00,11.50,9.00,14.00,16.75,m,14.50,9.50,12.00,11.50,10.00,11.25,12.00,12.00,13.04,
18.00,18.00,18.50,12.00,17.75,12.50,16.25,14.00,16.75,19.11,14.00,19.00,f,13.00,9.50,13.00,12.00,11.00,16.00,19.50,16.10,13.23,
14.00,9.25,9.20,13.50,13.50,11.00,9.00,8.50,11.00,11.50,12.00,12.20,f,13.00,9.50,13.00,12.00,11.00,16.00,19.50,16.10,13.23,
14.00,15.50,16.70,14.25,19.50,16.00,19.00,14.50,12.25,18.50,13.00,20.00,f,16.25,13.50,17.00,12.50,20.00,15.25,15.00,14.40,16.59,
11.25,12.50,9.80,14.50,16.75,14.25,12.80,17.00,19.00,10.00,13.00,17.30,f,14.00,19.00,15.50,11.50,13.50,12.00,14.50,12.20,14.56,
12.00,11.50,15.00,11.25,14.25,13.25,9.00,12.00,14.75,9.00,10.50,14.75,m,13.50,13.00,13.50,17.00,18.00,15.25,9.00,14.70,14.32,
11.50,9.00,9.90,11.75,12.75,12.50,20.00,11.50,11.00,10.25,19.00,14.50,m,18.25,12.00,14.00,16.00,17.00,15.00,18.00,14.10,14.49,
11.00,10.00,17.60,10.00,9.75,12.25,14.60,12.50,15.00,17.50,13.00,13.20,m,16.75,13.50,16.00,18.50,15.40,16.25,16.00,18.60,15.02,
11.00,9.00,17.20,13.50,8.00,13.25,6.50,15.25,12.50,10.00,11.00,12.90,f,14.00,9.50,12.50,9.75,9.75,12.00,10.00,14.00,12.94,
9.25,7.00,9.00,12.00,10.00,12.50,9.80,12.00,9.50,11.50,10.00,11.10,f,10.25,12.00,15.50,9.75,9.75,10.00,16.00,16.50,12.42,
13.00,8.50,18.10,12.00,9.50,10.00,13.00,10.00,12.50,12.90,11.25,15.25,m,15.75,15.00,15.00,14.50,13.60,10.00,18.50,15.40,14.31,
9.00,0.00,13.70,14.50,9.00,11.50,10.00,10.00,9.00,9.00,12.25,17.10,m,13.50,10.00,12.00,12.00,9.75,10.50,9.00,10.00,12.83,
12.25,0.00,10.00,10.00,12.50,11.50,9.00,10.00,9.50,14.00,18.50,18.00,m,12.00,11.00,15.00,12.25,12.00,14.25,16.50,10.00,13.63,
14.50,11.50,14.40,13.25,17.25,12.00,10.00,13.00,12.50,14.10,12.50,19.60,m,15.25,15.00,17.50,11.50,15.30,10.00,16.00,17.80,14.86,
